112,BS,기타지급채무,금융부채,,0,3,1,,0,0,0,0,0,0,0,1,0
113,BS,파생금융부채,금융부채,,5,3,0,,0,0,0,0,0,0,0,1,0
1332,BS,금융보증채무,금융부채,,0,3,1,,0,0,0,0,0,0,0,1,0
115,BS,기타부채,기타부채,,3,3,0,,,,,,,,,,
116,BS,순확정급여부채,충당부채,,6,3,0,,,,,,,,,,
117,BS,납입자본,자본금,,0,0,0,,,,,,,,,,
118,BS,보통주자본금,자본금,,0,0,0,,,,,,,,,,
119,BS,우선주자본금,자본금,,0,0,0,,,,,,,,,,
120,BS,보통주주식발행초과금,기타자본,,0,0,0,,,,,,,,,,
121,BS,우선주주식발행초과금,기타자본,,0,0,0,,,,,,,,,,
122,BS,부채와자본총계,부채와자본총계,,1,1,0,,,,,,,,,,
123,PL,판매비와관리비,판관비,,0,0,0,,,,,,,,,,
124,PL,금융수익유효이자율법에따른이자수익,금융손익,,0,0,0,,,,,,,,,,
125,PL,금융수익기타,금융손익,,0,0,0,,,,,,,,,,
126,PL,기본주당손익,제거,,0,0,0,,,,,,,,,,
127,PL,희석주당손익,제거,,0,0,0,,,,,,,,,,
128,BS,계약자산,기타자산,,0,0,0,,,,,,,,,,
129,BS,계약부채,기타부채,,3,3,0,,,,,,,,,,
130,BS,주식발행초과금,기타자본,,0,0,0,,,,,,,,,,
131,BS,기타자본구성요소,기타자본,,0,0,0,,,,,,,,,,
132,PL,대손상각비,위치파악1,,0,0,0,,,,,,,,,,
133,PL,기타의대손상각비환입,위치파악1,,0,0,0,,,,,,,,,,
134,PL,이자수익,금융손익,,0,0,0,,,,,,,,,,
135,BS,순확정급여부채의재측정요소,기타포괄손익,,6,0,1,,,,,,,,,,
136,PL,기본주당순이익,제거,,0,0,0,,,,,,,,,,
137,PL,희석주당순이익,제거,,0,0,0,,,,,,,,,,
138,BS,단기금융상품,금융자산,,0,0,0,,0,0,0,0,,,,,0
139,BS,기타금융자산,금융자산,,0,0,0,,0,0,0,,,,,,0
140,PL,기타영업외수익,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
142,BS,당기손익인식금융자산,금융자산,,0,0,0,,0,0,0,,,,,,0
143,BS,순확정급여자산,위치파악4,,0,0,0,,,,,,,,,,
144,PL,금융수익유효이자율법으로계산한이자수익,금융손익,,0,0,0,,,,,,,,,,
145,PL,금융원가,매출원가,,0,0,0,,,,,,,,,,
146,BS,기타포괄손익공정가치금융자산,금융자산,,0,0,0,,0,0,0,,,,,,0
147,PL,기타의대손상각비,위치파악1,,0,0,0,,,,,,,,,,
148,BS,기타포괄손익공정가치측정금융자산공정가치변동,기타자본,,0,0,0,,,,,,,,,,
149,BS,현금및예치금,현금성자산,,0,0,0,,,,,,,,,,
150,BS,종속기업투자주식,투자주식,,0,0,0,,,,,,,,,,
151,BS,대출채권및수취채권,금융자산,,0,0,0,,0,0,0,,,,,,0
152,BS,신종자본증권,자본금,,0,0,0,,,,,,,,,,
153,PL,순이자손익,금융손익,,0,0,0,,,,,,,,,,
154,PL,이자비용,금융손익,,0,0,0,,,,,,,,,,
155,PL,순수수료손익,매출액,,0,0,0,,,,,,,,,,
156,PL,수수료수익,매출액,,0,0,0,,0,0,0,,,,,,0
157,PL,수수료비용,판관비,,0,0,0,,,,,,,,,,
158,PL,배당금수익,금융손익,,0,0,0,,,,,,,,,,
159,PL,일반관리비,판관비,,0,0,0,,,,,,,,,,
160,PL,영업외손익,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
161,PL,영업외수익,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
162,PL,영업외비용,영업외손익,,0,0,0,,0,0,0,0,0,0,,,0
164,PL,당기총포괄이익,총포괄손익,,0,0,0,,,,,,,,,,
165,PL,기본및희석주당순이익,제거,,0,0,0,,,,,,,,,,
166,BS,공정가치금융자산,금융자산,,0,0,0,,0,0,0,,,,,,0
