종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"214390","경보제약","KOSPI",,"11900","-200","-1.65","12100","12150","11800","68883","821927350","284491634000","23906860"
"012610","경인양행","KOSPI",,"7030","-20","-0.28","7030","7090","6990","155783","1095564420","292070945950","41546365"
"009140","경인전자","KOSPI",,"28550","-850","-2.89","29400","29500","28450","5176","149108050","44846254350","1570797"
"024910","경창산업","KOSDAQ","중견기업부","3860","890","29.97","3040","3860","3040","12597101","45167771965","138261359300","35819005"
"013580","계룡건설","KOSPI",,"41900","0","0.00","42300","43800","41500","117701","4980774400","374205003300","8930907"
"012200","계양전기","KOSPI",,"4760","-60","-1.24","4850","4850","4700","211628","1005061590","155176000000","32600000"
"012205","계양전기우","KOSPI",,"7890","-20","-0.25","7900","7910","7800","3086","24124280","11046000000","1400000"
"002140","고려산업","KOSPI",,"3750","-65","-1.70","3810","3830","3725","75351","283225695","93522843750","24939425"
"198440","고려시멘트","KOSDAQ","우량기업부","4250","-15","-0.35","4310","4500","4240","1573264","6899058115","135914830000","31979960"
"049720","고려신용정보","KOSDAQ","중견기업부","9920","-130","-1.29","10000","10050","9880","51432","511216310","141856000000","14300000"
"010130","고려아연","KOSPI",,"510000","-2000","-0.39","508000","516000","508000","22218","11370041000","9623700000000","18870000"
"002240","고려제강","KOSPI",,"27950","-350","-1.24","28300","28700","27550","63140","1784237000","642850000000","23000000"
"014570","고려제약","KOSDAQ","우량기업부","10100","-50","-0.49","10150","10200","10050","51052","516231150","111100000000","11000000"
"348150","고바이오랩","KOSDAQ","기술성장기업부","32350","-200","-0.61","32650","33800","32100","153314","5027866150","522825916050","16161543"
"098460","고영","KOSDAQ","우량기업부","22500","150","0.67","22350","22500","22150","64922","1449073750","1544731987500","68654755"
"035290","골드앤에스","KOSDAQ","관리종목(소속부없음)","1305","0","0.00","0","0","0","0","0","47272202550","36223910"
"038530","골드퍼시픽","KOSDAQ","중견기업부","2335","105","4.71","2260","2440","2140","46947476","108130984310","185365242905","79385543"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)","439","-5","-1.13","440","444","435","626751","275260480","77515806449","176573591"
"215000","골프존","KOSDAQ","우량기업부","143300","-300","-0.21","143600","145000","140700","40781","5840495600","899266969500","6275415"
"121440","골프존뉴딘홀딩스","KOSDAQ","중견기업부","8930","-150","-1.65","9020","9020","8880","108738","970473410","382532784740","42836818"
"183410","골프존데카","KONEX","일반기업부","2585","-5","-0.19","2590","2590","2500","484","1248055","10627351185","4111161"
"076340","관악산업","KONEX","일반기업부","8630","-490","-5.37","10000","10000","8560","3770","36639940","42040699800","4871460"
"009290","광동제약","KOSPI",,"8690","240","2.84","8460","9900","8400","5173153","48081137980","455537195190","52420851"
"014200","광림","KOSDAQ","중견기업부","3435","195","6.02","3220","3475","3220","1489361","5033123760","250688275125","72980575"
"017040","광명전기","KOSPI",,"3040","-80","-2.56","3145","3145","3030","486153","1494743460","131746349600","43337615"
"017900","광전자","KOSPI",,"2880","-55","-1.87","2935","2945","2860","148492","431000815","166878037440","57943763"
