id,name,yeartime
131,LS전선아시아,2021
132,LX세미콘,2021
133,LX인터내셔널,2021
134,LX하우시스,2021
135,LX홀딩스,2021
136,MDS테크,2021
137,MH에탄올,2021
138,NAVER,2021
139,NEW,2021
140,NE능률,2021
141,NHN,2021
142,NHN벅스,2021
143,NHN한국사이버결제,2021
144,NH올원리츠,2021
145,NH프라임리츠,2021
146,NICE,2021
147,NICE평가정보,2021
148,NI스틸,2021
149,OCI,2021
150,PI첨단소재,2021
151,PN풍년,2021
152,POSCO홀딩스,2021
153,RFHIC,2021
154,RF머트리얼즈,2021
155,S&K폴리텍,2021
156,S-Oil,2021
157,SBI인베스트먼트,2021
158,SBS,2021
159,SBS콘텐츠허브,2021
160,SBW생명과학,2021
161,SCI평가정보,2021
162,SDN,2021
163,SFA반도체,2021
164,SG&G,2021
165,SG,2021
166,SGA,2021
167,SGA솔루션즈,2021
168,SGC에너지,2021
169,SGC이테크건설,2021
170,SG글로벌,2021
171,SG세계물산,2021
172,SHD,2021
173,SH에너지화학,2021
174,SIMPAC,2021
175,SK5호스팩,2021
176,SK6호스팩,2021
177,SKC,2021
178,SK가스,2021
179,SK네트웍스,2021
180,SK디스커버리,2021
181,SK디앤디,2021
182,SK렌터카,2021
183,SK리츠,2021
184,SK바이오사이언스,2021
185,SK스퀘어,2021
186,SK시그넷,2021
187,SK아이이테크놀로지,2021
188,SK이노베이션,2021
189,SK케미칼,2021
190,SM C&C,2021
191,SM Life Design,2021
192,SNT모티브,2021
193,SNT에너지,2021
194,SNT중공업,2021
195,SNT홀딩스,2021
196,SPC삼립,2021
197,STX,2021
198,STX엔진,2021
199,SUN&L,2021
200,SV인베스트먼트,2021
201,TCC스틸,2021
202,THE E&M,2021
203,THE MIDONG,2021
204,THQ,2021
205,TJ미디어,2021
206,TKG애강,2021
207,TPC,2021
208,TS인베스트먼트,2021
209,TS트릴리온,2021
210,TYM,2021
211,UCI,2021
212,WI,2021
213,WISCOM,2021
214,YBM넷,2021
215,YG PLUS,2021
216,YTN,2021
217,YW,2021
218,가비아,2021
219,가온전선,2021
220,감성코퍼레이션,2021
221,강남제비스코,2021
222,강스템바이오텍,2021
223,강원에너지,2021
224,갤럭시아머니트리,2021
225,갤럭시아에스엠,2021
226,경남스틸,2021
227,경농,2021
228,경동나비엔,2021
229,경동도시가스,2021
230,경동인베스트,2021
231,경동제약,2021
232,경보제약,2021
233,경인양행,2021
234,경창산업,2021
235,계룡건설,2021
236,계양전기,2021
237,고려산업,2021
238,고려신용정보,2021
239,고려아연,2021
240,고려제강,2021
241,고려제약,2021
242,고바이오랩,2021
243,고영,2021
244,골드앤에스,2021
245,골드퍼시픽,2021
246,골프존,2021
247,골프존뉴딘홀딩스,2021
248,골프존데카,2021
249,공구우먼,2021
250,관악산업,2021
251,광동제약,2021
252,광무,2021
253,광전자,2021
254,광주신세계,2021
255,광진실업,2021
256,교보11호스팩,2021
257,교보9호스팩,2021
258,교촌에프앤비,2021
