"id","bspl","detailname","resultname"
2368,BS,기타포괄손익공정가치측정금융자산재분류,기타자본
2369,BS,공구기구,유형자산
2370,BS,단기임대보증금,위치파악3
2371,PL,판매비및일반관리비,판관비
2372,PL,당기손익공정가치측정금융부채평가이익,위치파악2
2373,PL,계속영업희석주당손익,제거
2374,PL,중단영업희석주당손익,제거
2375,BS,매입채무및기타비유동채무,금융부채
2376,PL,복구충당부채전입액,영업외손익
2377,PL,재고자산평가충당금환입액,위치파악2
2378,PL,복구충당부채환입액,영업외손익
2379,PL,계속사업주당손익,제거
2380,BS,기타포괄손익공정가치측정평가이익,기타자본
2381,PL,일반관리비와판매비,판관비
2382,PL,법인세차감후금액,총포괄손익
2383,BS,파생상품유동금융부채,금융부채
2384,BS,기타단기수취채권,금융자산
2385,PL,종속기업및관계기업투자주식처분이익,영업외손익
2386,PL,확정급여부채에대한보험수리적손익,기타포괄손익
2387,cf,재무활동현금으로인한현금흐름,재무활동현금흐름
2388,BS,기타포괄손익공정가치금융상품,금융자산
2389,PL,기타투자자산평가손실,위치파악2
2390,cf,영업활동으로창출된현금흐름,영업활동현금흐름
2391,BS,유동성장기금융상품,금융자산
2392,PL,임대매출원가,매출원가
2393,BS,법인세효과반영후기타포괄손익,기타자본
2394,PL,중단사업기본주당이익,제거
2395,PL,계속사업희석주당이익,제거
2396,PL,중단사업희석주당이익,제거
2397,BS,상품권,무형자산
2398,BS,유동복구충당부채,충당부채
2399,PL,매출채권손상차손환입,영업외손익
2400,BS,기타포괄손익공정가치측정평가손익채무상품,금융자산
2401,BS,기타포괄손익공정가치측정평가손익지분상품,금융자산
2402,BS,기타비유동금융채무,금융부채
2403,BS,관계기업과공동기업의기타포괄손익,기타자본
2404,PL,종속및관계기업투자손익,영업외손익
2405,BS,비유동성차입금,금융부채
2406,BS,유동성장기임대보증금,위치파악3
2407,BS,매입채무및기타채권,금융부채
2408,PL,주당손실,제거
2409,BS,현금및상각후원가측정예치금,현금성자산
2410,BS,반품부채,충당부채
2411,BS,당기법인세차감후기타포괄손익,기타자본
2412,BS,매출채권및미청구공사,금융자산
2413,BS,장기사채,금융부채
2414,BS,유동사채,금융부채
2415,BS,유동반품충당부채,충당부채
2416,PL,계속사업기본및희석주당순이익,제거
2417,PL,종속/관계기업투자주식손상차손,영업외손익
2418,BS,유동성파생부채,금융부채
2419,BS,기타포괄손익금융자산관련손익,기타자본
2420,PL,보조금수익,영업외손익
2421,PL,전기오류수정이익,영업외손익
2422,PL,외환환산손실,영업외손익
2423,BS,유동성당기손익인식금융부채,금융부채
2424,BS,리스부채유동,금융부채
2425,BS,리스부채비유동,금융부채
2426,BS,세후기타포괄손실,기타자본
2427,PL,당기손익공정가치측정금융부채의자기신용위험변동손익,기타포괄손익
2428,BS,의장권,무형자산
2429,PL,토지의재평가이익,위치파악2
2430,BS,당기손익공정가치금융상품,금융자산
2431,BS,종속기업및관계공동기업투자,투자주식
2432,BS,지분법적용관계기업투자주식,투자주식
2433,BS,종속회사및관계회사주식,투자주식
2434,PL,재료매출액,매출액
2435,PL,재료매출원가,매출원가
2436,PL,위탁용역비,매출원가
